name	x	y	z	size	hemisphere	seizure_zone	Destrieux_label	Destrieux_label_text
RA1	19.56689367	56.44311093	-15.80949387	n/a	R	n/a	54	Right_Amygdala
RA2	22.98358847	57.12594515	-17.27692598	n/a	R	n/a	54	Right_Amygdala
RA3	26.42134678	57.05289265	-18.32635325	n/a	R	n/a	54	Right_Amygdala
RA4	29.85029036	56.9671869	-19.36811064	n/a	R	n/a	54	Right_Amygdala
RA5	33.28907428	56.88182587	-20.41082144	n/a	R	n/a	54	Right_Amygdala
RA6	36.71656382	56.80840623	-21.45927097	n/a	R	n/a	41	Right_Cerebral_White_Matter
RA7	40.15534774	56.72304519	-22.50198177	n/a	R	n/a	41	Right_Cerebral_White_Matter
RA8	43.58325229	56.6494769	-23.55084958	n/a	R	n/a	41	Right_Cerebral_White_Matter
RA9	47.02167817	56.5631776	-24.59314072	n/a	R	n/a	41	Right_Cerebral_White_Matter
RA10	50.45062175	56.47747185	-25.6348981	n/a	R	n/a	41	Right_Cerebral_White_Matter
RA11	53.88838006	56.40441935	-26.68432538	n/a	R	n/a	12138	rh_G_temporal_middle
RA12	57.31689521	56.31869118	-27.72605844	n/a	R	n/a	12138	rh_G_temporal_middle
RB1	21.0934829	50.31597493	-23.1651406	n/a	R	n/a	53	Right_Hippocampus
RB2	24.22923698	49.33029115	-22.5490275	n/a	R	n/a	53	Right_Hippocampus
RB3	27.35581444	48.34184707	-21.92249796	n/a	R	n/a	53	Right_Hippocampus
RB4	30.49129041	47.36531148	-21.30284904	n/a	R	n/a	53	Right_Hippocampus
RB5	33.61720415	46.37928299	-20.68578252	n/a	R	IrritativeZone	53	Right_Hippocampus
RB6	43.01494513	43.41870416	-18.82621316	n/a	R	IrritativeZone	12151	rh_S_collat_transv_ant
RB7	46.15071262	42.43319147	-18.20970611	n/a	R	IrritativeZone	41	Right_Cerebral_White_Matter
RB8	49.28726734	41.45409163	-17.58101244	n/a	R	IrritativeZone	41	Right_Cerebral_White_Matter
RB9	52.41319448	40.46823422	-16.96355197	n/a	R	IrritativeZone	41	Right_Cerebral_White_Matter
RB10	55.5489556	39.48245886	-16.34739933	n/a	R	IrritativeZone	41	Right_Cerebral_White_Matter
RB11	64.94677718	36.53161224	-14.4850287	n/a	R	IrritativeZone	12138	rh_G_temporal_middle
RB12	68.07340324	35.54288132	-13.85790755	n/a	R	IrritativeZone	12138	rh_G_temporal_middle
RB13	71.20900003	34.5570054	-13.24170565	n/a	R	n/a	12138	rh_G_temporal_middle
RO1	7.056475571	101.9714941	-8.22071602	n/a	R	n/a	12131	rh_G_rectus
